"","X.1","X","price","lot_size","waterfront","age","land_value","construction","air_cond","fuel","heat","sewer","living_area","fireplaces","bathrooms","rooms","waterfront2","air_cond2","construction2","sewer2"
"1",1,1,132500,0.09,0,42,50000,0,0,3,4,2,906,1,1,5,"No","No","No","Private"
"2",2,2,181115,0.92,0,0,22300,0,0,2,3,2,1953,0,2.5,6,"No","No","No","Private"
"3",3,3,109000,0.19,0,133,7300,0,0,2,3,3,1944,1,1,8,"No","No","No","Public"
"4",4,4,155000,0.41,0,13,18700,0,0,2,2,2,1944,1,1.5,5,"No","No","No","Private"
"5",5,5,86060,0.11,0,0,15000,1,1,2,2,3,840,0,1,3,"No","Yes","Yes","Public"
"6",6,6,120000,0.68,0,31,14000,0,0,2,2,2,1152,1,1,8,"No","No","No","Private"
"7",7,7,153000,0.4,0,33,23300,0,0,4,3,2,2752,1,1.5,8,"No","No","No","Private"
"8",8,8,170000,1.21,0,23,14600,0,0,4,2,2,1662,1,1.5,9,"No","No","No","Private"
"9",9,9,90000,0.83,0,36,22200,0,0,3,4,2,1632,0,1.5,8,"No","No","No","Private"
"10",10,10,122900,1.94,0,4,21200,0,0,2,2,1,1416,0,1.5,6,"No","No","No","None"
"11",11,11,325000,2.29,0,123,12600,0,0,4,2,2,2894,0,1,12,"No","No","No","Private"
"12",12,12,120000,0.92,0,1,22300,0,0,2,2,2,1624,0,2,6,"No","No","No","Private"
"13",13,13,85860,8.97,0,13,4800,0,0,3,4,2,704,0,1,4,"No","No","No","Private"
"14",14,14,97000,0.11,0,153,3100,0,0,2,3,3,1383,0,2,5,"No","No","No","Public"
"15",15,15,127000,0.14,0,9,300,0,0,4,2,2,1300,0,1.5,8,"No","No","No","Private"
"16",16,16,89900,0,0,88,2500,0,0,2,3,3,936,0,1,4,"No","No","No","Public"
"17",17,17,155000,0.13,0,9,300,0,0,4,2,2,1300,0,1.5,7,"No","No","No","Private"
"18",18,18,253750,2,0,0,49800,0,1,2,2,1,2816,1,2.5,12,"No","Yes","No","None"
"19",19,19,60000,0.21,0,82,8500,0,0,4,3,2,924,0,1,6,"No","No","No","Private"
"20",20,20,87500,0.88,0,17,19400,0,0,4,2,2,1092,0,1,6,"No","No","No","Private"
"21",21,21,112000,1,0,12,8600,0,0,3,4,2,1056,0,1,7,"No","No","No","Private"
"22",22,22,104900,0.43,0,21,5600,0,0,3,4,3,1600,0,1.5,4,"No","No","No","Public"
"23",23,23,148635,0.32,0,1,6200,1,1,2,2,2,1576,0,2.5,7,"No","Yes","Yes","Private"
"24",24,24,150000,0.03,0,24,5100,0,0,4,2,2,2080,0,2,6,"No","No","No","Private"
